id,ms,date,puzzle,scramble,plus2,dnf
P1opt6Rwc,18936,2020-11-11T17:39:48.282Z,3x3x3,"L D2 B2 U2 F2 L D2 U2 F2 L F2 U' B2 R' D2 U2 F D B' U' L2",,
Tan9D_oPM,25357,2020-11-11T17:41:37.281Z,3x3x3,"B2 D' R2 F2 D2 F2 U2 L2 R2 U' B2 L' U B L2 D U2 F L2 U' B2",,
DtUyAqe6d,25871,2020-11-11T17:42:22.129Z,3x3x3,"B2 U R U2 L2 B U2 B2 D' F' L2 U2 R' B2 D2 L U2 D2 R' F2 U2",,
3iCKjFbAp,18740,2020-11-11T17:43:21.312Z,3x3x3,"D' L' D2 F' U D' F B2 U' B' R2 F U2 R2 B D2 B L2 F L2",,
besRjadMN,23729,2020-11-11T17:44:20.030Z,3x3x3,"D B2 D' U' R2 F2 U' B2 U B2 R2 B L2 R' D R' B' D' U' R' F2",,
c80hBFg3t,21562,2020-11-11T17:45:02.895Z,3x3x3,"D' L2 F2 D' L2 B2 D' B2 U B2 U2 R' B' R' U L R2 B' F2 D'",,
JHViGSan_,27006,2020-11-11T17:45:58.335Z,3x3x3,"D2 R B2 D B2 U2 R F' D B' D2 L' U2 B2 L D2 B2 R L2 F2 D2",,
86i54jLje,22920,2020-11-11T17:46:42.591Z,3x3x3,"D' F2 R' B' U2 L' U R' D L D2 R2 U2 F' D2 B' U2 D2 B2",,
hkuJe8rge,21924,2020-11-11T17:47:40.834Z,3x3x3,"F2 U R2 F2 L2 R2 D2 U L2 U F2 L F' R' B U L R' U' F' U2",,
-I1Iu_7Cq,22342,2020-11-11T17:48:22.199Z,3x3x3,"D2 B2 R2 B2 R2 D2 L2 U L2 R2 D' B' U L' B R' U' R B' D2",,
3ZIepLjEY,20379,2020-11-11T17:49:21.376Z,3x3x3,"B2 F2 L F2 U2 L R B2 F2 D2 U' L B2 F2 U' L U B U R",,
RfQ6qlNb-,25712,2020-11-11T17:50:09.912Z,3x3x3,"B2 R2 D L2 D' R2 U F2 L2 R2 D' L F2 D2 R F2 D' B R U",,
LIrUhRFGH,24388,2020-11-11T17:50:50.890Z,3x3x3,"D U2 B2 R2 U' L2 R2 D' F2 L2 U' B L2 U2 B' R' B2 D' L U' F2",,
UaaB45JHx,22944,2020-11-11T20:08:09.990Z,3x3x3,"D R2 B L' F' U2 L' D F R D2 F2 D2 R2 D F2 L2 F2 L2 D'",,
TkMZKqip7,22625,2020-11-11T20:10:05.449Z,3x3x3,"F' L2 U2 R2 D2 F D2 L2 F' D2 R2 U' L2 D L2 R' F' R U' R D",,
